log,run,label,basis
260812-140913.log,7,unknown,"no note section names this record (arrival peak 4.637)"
260812-140913.log,8,unknown,"no note section names this record (arrival peak 4.102)"
260812-140913.log,9,run,"falcon_ramp_armed_2026-08-12.md §6a run 5 ""4->1 down, automatic, 15.7 s"" opk 38 arrival peak 0.493"
260812-140913.log,10,run,"falcon_ramp_armed_2026-08-12.md §5a table run 6 ""1->2 up"" opk 12 arrival peak 0.481"
260812-140913.log,11,run,"falcon_ramp_armed_2026-08-12.md §5a table run 7 ""2->1 down"" opk 17 arrival peak 0.468"
260812-140913.log,12,unknown,"no note row; §5b covers runs 9-12 but tabulates only 9, 10 and 11"
260812-140913.log,13,run,"falcon_ramp_armed_2026-08-12.md §5b table run 9 ""4->1 down"" arrival peak 0.494"
260812-140913.log,14,run,"falcon_ramp_armed_2026-08-12.md §5b table run 10 ""1->2 up"" arrival peak 0.551"
260812-140913.log,15,run,"falcon_ramp_armed_2026-08-12.md §5b table run 11 ""2->1 down"" arrival peak 0.544"
260812-140913.log,16,unknown,"no note row"
260812-140913.log,17,unknown,"no note row"
260813-103846.log,1,run,"falcon_500fpm_ui_2026-08-13.md §5 table run 1 ""8->1 down"" opk 64 arrival peak 0.545"
260813-103846.log,2,run,"falcon_500fpm_ui_2026-08-13.md §5 table run 2 ""1->8 up"" opk 73 arrival peak 0.486"
260813-103846.log,3,unknown,"no note row; §5 is headed ""four runs"" but tabulates three"
260813-110300.log,1,run,"falcon_500fpm_ui_2026-08-13.md §5 table run 3 ""8->1 down"" opk 217 arrival peak 0.561"
260818-105317.log,67,disturbance,"falcon_departure_detection_2026-08-18.md §3.3 table row ""Hand bump"" block mean 33 dir 75%; opk 118 independently matches graph/jog_window_replay.py header"
260818-105317.log,73,disturbance,"falcon_departure_detection_2026-08-18.md §3.3 table row ""Walking on cartop"" block mean 34 dir 50%"
260818-105317.log,75,jog,"falcon_departure_detection_2026-08-18.md §3.4 ""A deliberate jog produced ratio=88 opk=381, below the 900 gate, and was classified RUN"""
260818-105317.log,76,disturbance,"falcon_departure_detection_2026-08-18.md §3.3 table row ""Walking on cartop"" block mean 14 dir 58%"
260818-105317.log,77,run,"falcon_departure_detection_2026-08-18.md §3.3 table row ""20 fpm down"" block mean 199 dir 92%"
260818-105317.log,78,run,"falcon_departure_detection_2026-08-18.md §3.3 table row ""20 fpm down"" block mean 45 dir 75%"
260818-105317.log,79,run,"falcon_departure_detection_2026-08-18.md §3.3 table row ""20 fpm down"" block mean 160 dir 92%"
260818-105317.log,44,run,"falcon_state_of_project_2026-08-18.md §6 and falcon_test_plan_2026-08-18.md §13 refuted table: ""A real run was silenced at 972 against a 900 gate""; opk=972 is unique in the corpus. THIS RECORD IS A FALSE JOG."
260818-105317.log,48,jog,"falcon_departure_detection_2026-08-18.md §3.4 ""Successful jog-clears in the same session ran opk 1459-2974""; opk=1459 is the lower endpoint and unique in the corpus"
260818-105317.log,58,jog,"falcon_departure_detection_2026-08-18.md §3.4 ""Successful jog-clears in the same session ran opk 1459-2974""; opk=2974 is the upper endpoint and unique in the corpus"
260820-120250.log,1,run,"CALLED AT THE CAR 2026-08-20, cartop inspection: ""19 fpm up done"", and afterwards ""the first run up was into floor level, slightly less harsh brake set"". Arrival peak 0.465 = 1.03x the gate, the weakest of the session."
260820-120250.log,2,run,"CALLED AT THE CAR 2026-08-20, cartop inspection: ""running down now"" / ""19 fpm down done"". Arrival peak 0.953."
260820-120250.log,3,run,"CALLED AT THE CAR 2026-08-20, cartop inspection: ""running up now"" / ""done"", ordinary cartop brake set. Arrival peak 1.855."
260820-120250.log,4,run,"CALLED AT THE CAR 2026-08-20: ""running up into terminal floor level now 19fpm inspection"". Departure caught by the POLLED path, not any-motion. Arrival peak 1.389."
260820-120250.log,5,run,"CALLED AT THE CAR 2026-08-20: ""running down now, gentle brake set if possible"" -- the gentle set did not happen, arrival peak 2.421 was the hardest of the session. ARM g=0 ro=7: the reversal gate did not open."
260820-120250.log,6,jog,"CALLED AT THE CAR 2026-08-20, cartop inspection: ""jog down"". ratio 68 opk 1190, verdict JOG, released on the verdict."
260820-120250.log,7,jog,"CALLED AT THE CAR 2026-08-20, cartop inspection: second of the ""jog down"" pair. ratio 52 opk 937 -- the CLOSEST a jog has come to the 900 gate on record (previous floor 1366)."
260820-120250.log,8,jog,"CALLED AT THE CAR 2026-08-20: ""jog up next"" / ""2 jog cleared"". ratio 44 opk 953."
260820-120250.log,9,jog,"CALLED AT THE CAR 2026-08-20: ""brief jog next"" / ""brief jog completed"". ratio 89 opk 3244 -- the HARDEST of the session. Brevity raises opk and ratio, it does not lower them; reproduces the 08-11 finding that the shortest blip was the most jog-like event of that day."
260820-120250.log,10,jog,"2026-08-20, inside the jog block Dave announced (""jogs will run next""), after the brief jog. ratio 77 opk 1546. NOT individually called out -- basis is the announced sequence, weaker than rows 6-9."
260820-120250.log,11,unknown,"2026-08-20, final latch as the capture was stopped; opk 266 ratio 2, log ended mid-run. No callout and no arrival, so the event is unidentified -- most likely handling as Dave finished."
260820-122600.log,1,run,"CALLED AT THE CAR 2026-08-20: ""im midway through down run at 18fpm now"" / ""done run completed"". 224.4 s of STATE_MOVING -- the longest slow run on record. Departure any-motion opk=67, arrival 1.031, cruise ceiling cp=0.29."
260821-101915.log,1,run,"falcon_350fpm_2026-08-21 session table run 1: 5-1 down, 4 floors; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,2,run,"falcon_350fpm_2026-08-21 session table run 2: 1-5 up, 4 floors; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,3,run,"falcon_350fpm_2026-08-21 session table run 3: 5-4 down, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,4,run,"falcon_350fpm_2026-08-21 session table run 4: 4-3 down, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,5,run,"falcon_350fpm_2026-08-21 session table run 5: 3-2 down, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,6,run,"falcon_350fpm_2026-08-21 session table run 6: 2-1 down, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,7,run,"falcon_350fpm_2026-08-21 session table run 7: 1-2 up, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,8,run,"falcon_350fpm_2026-08-21 session table run 8: 2-3 up, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,9,run,"falcon_350fpm_2026-08-21 session table run 9: 3-4 up, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,10,run,"falcon_350fpm_2026-08-21 session table run 10: 4-5 up, single floor; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,11,run,"falcon_350fpm_2026-08-21 session table run 11: 5-4 down, repeat; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,12,run,"falcon_350fpm_2026-08-21 session table run 12: 4-5 up, repeat; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,13,run,"falcon_350fpm_2026-08-21 session table run 13: 5-4 down, repeat; automatic operation, floors called aloud by Dave as each run started"
260821-101915.log,14,run,"falcon_350fpm_2026-08-21 session table run 14: 4-5 up, repeat; automatic operation, floors called aloud by Dave as each run started"
260821-105230.log,1,run,"falcon_START_HERE_2026-08-21 �3 B3 verification run 1; automatic operation at 350 fpm, 5-4/4-5 alternating, floors called aloud by Dave"
260821-105230.log,2,run,"falcon_START_HERE_2026-08-21 �3 B3 verification run 2; automatic operation at 350 fpm, 5-4/4-5 alternating, floors called aloud by Dave"
260821-105230.log,3,run,"falcon_START_HERE_2026-08-21 �3 B3 verification run 3; automatic operation at 350 fpm, 5-4/4-5 alternating, floors called aloud by Dave"
260821-105230.log,4,run,"falcon_START_HERE_2026-08-21 �3 B3 verification run 4; automatic operation at 350 fpm, 5-4/4-5 alternating, floors called aloud by Dave"
260821-105230.log,5,run,"falcon_START_HERE_2026-08-21 �3 B3 verification run 5; automatic operation at 350 fpm, 5-4/4-5 alternating, floors called aloud by Dave"
260821-105230.log,6,run,"falcon_START_HERE_2026-08-21 �3 B3 verification run 6; automatic operation at 350 fpm, 5-4/4-5 alternating, floors called aloud by Dave"
